No.,Time,Source,Destination,Protocol,Length,Info,,,,TIME 1 ,TIME 2,DELAY ,delay 2,delay 1,jitter
131,65.171867,192.168.100.41,93.184.216.34,TCP,54,"52963  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,
132,65.172176,93.184.216.34,192.168.100.41,TCP,54,80  >  52963 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,
133,65.172376,93.184.216.34,192.168.100.41,TCP,54,"80  >  52963 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,
134,70.178192,192.168.100.41,93.184.216.34,TCP,54,52963  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,
136,70.182287,192.168.100.41,93.184.216.34,TCP,66,52964  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,
137,70.182606,93.184.216.34,192.168.100.41,TCP,62,"80  >  52964 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,,,,
138,70.183554,192.168.100.41,93.184.216.34,TCP,54,52964  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,,,,
139,70.1856,192.168.100.41,93.184.216.34,TCP,54,"52964  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,
140,70.18591,93.184.216.34,192.168.100.41,TCP,54,80  >  52964 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,
141,70.186111,93.184.216.34,192.168.100.41,TCP,54,"80  >  52964 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,
142,75.190256,192.168.100.41,93.184.216.34,TCP,54,52964  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,
146,75.193558,192.168.100.41,93.184.216.34,TCP,66,52965  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,
147,75.193871,93.184.216.34,192.168.100.41,TCP,62,"80  >  52965 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,,,,
148,75.194789,192.168.100.41,93.184.216.34,TCP,54,52965  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,,,,
149,75.196615,192.168.100.41,93.184.216.34,TCP,54,"52965  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,
150,75.196923,93.184.216.34,192.168.100.41,TCP,54,80  >  52965 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,
151,75.197133,93.184.216.34,192.168.100.41,TCP,54,"80  >  52965 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,
